REGIONID,PRODUCTGROUP,YEARWEEK,VOL
A01,ST0002,201512,"151,750"
A01,ST0001,201520,"645,626"
A01,ST0002,201520,"125,863"
A01,ST0001,201515,"810,144"
A01,ST0002,201515,"128,999"
A01,ST0001,201518,"671,464"
A01,ST0002,201518,"134,467"
A01,ST0001,201513,"470,040"
A01,ST0002,201513,"140,297"
A01,ST0001,201511,"524,787"
A01,ST0002,201511,"145,509"
A01,ST0001,201516,"764,927"
A01,ST0002,201516,"140,313"
A01,ST0001,201519,"682,757"
A01,ST0002,201519,"128,668"
A01,ST0001,201514,"428,195"
A01,ST0002,201514,"137,488"
A01,ST0001,201512,"486,509"
A01,ST0001,201517,"697,502"
A01,ST0002,201517,"127,163"
A01,ST0001,201507,"620,392"
A01,ST0002,201507,"146,476"
A01,ST0001,201510,"511,679"
A01,ST0002,201510,"153,152"
A01,ST0001,201502,"438,251"
A01,ST0002,201502,"123,875"
A01,ST0001,201505,"482,381"
A01,ST0002,201505,"180,516"
A01,ST0001,201508,"571,781"
A01,ST0002,201508,"156,772"
A01,ST0001,201503,"420,290"
A01,ST0002,201503,"114,744"
A01,ST0001,201506,"570,412"
A01,ST0002,201506,"139,277"
A01,ST0001,201509,"569,545"
A01,ST0002,201509,"141,823"
A01,ST0001,201501,"513,598"
A01,ST0002,201501,"155,729"
A01,ST0001,201504,"458,431"
A01,ST0002,201504,"137,162"
A01,ST0002,201535,"149,570"
A01,ST0001,201538,"693,449"
A01,ST0002,201538,"132,870"
A01,ST0001,201533,"679,332"
A01,ST0002,201533,"150,105"
A01,ST0001,201541,"624,735"
A01,ST0002,201541,"127,720"
A01,ST0001,201536,"826,981"
A01,ST0002,201536,"210,006"
A01,ST0001,201539,"636,169"
A01,ST0002,201539,"129,992"
A01,ST0001,201534,"846,123"
A01,ST0002,201534,"168,303"
A01,ST0001,201532,"677,509"
A01,ST0002,201532,"134,564"
A01,ST0001,201537,"717,281"
A01,ST0002,201537,"195,106"
A01,ST0001,201540,"647,135"
A01,ST0002,201540,"139,629"
A01,ST0001,201535,"833,345"
A01,ST0001,201525,"618,699"
A01,ST0002,201525,"128,766"
A01,ST0001,201528,"587,529"
A01,ST0002,201528,"142,598"
A01,ST0001,201523,"610,479"
A01,ST0002,201523,"125,300"
A01,ST0001,201526,"586,721"
A01,ST0002,201526,"135,212"
A01,ST0001,201531,"671,138"
A01,ST0002,201531,"140,732"
A01,ST0001,201521,"620,290"
A01,ST0002,201521,"132,909"
A01,ST0001,201529,"620,882"
A01,ST0002,201529,"154,985"
A01,ST0001,201524,"589,613"
A01,ST0002,201524,"139,590"
A01,ST0001,201527,"599,043"
A01,ST0002,201527,"184,550"
A01,ST0001,201522,"603,104"
A01,ST0002,201522,"143,231"
A01,ST0001,201530,"643,984"
A01,ST0002,201530,"133,998"
A01,ST0001,201605,"661,049"
A01,ST0002,201605,"231,214"
A01,ST0001,201603,"531,372"
A01,ST0002,201603,"152,763"
A01,ST0001,201601,"651,243"
A01,ST0002,201601,"162,801"
A01,ST0001,201608,"671,116"
A01,ST0002,201608,"130,000"
A01,ST0001,201606,"881,536"
A01,ST0002,201606,"172,230"
A01,ST0001,201552,"1,197,170"
A01,ST0002,201552,"422,468"
A01,ST0001,201604,"585,025"
A01,ST0002,201604,"197,057"
A01,ST0001,201602,"573,198"
A01,ST0002,201602,"137,186"
A01,ST0001,201553,"757,241"
A01,ST0002,201553,"232,523"
A01,ST0001,201607,"790,430"
A01,ST0002,201607,"161,324"
A01,ST0001,201543,"627,906"
A01,ST0002,201543,"124,142"
A01,ST0001,201551,"863,189"
A01,ST0002,201551,"356,271"
A01,ST0001,201546,"644,949"
A01,ST0002,201546,"184,242"
A01,ST0001,201549,"835,398"
A01,ST0002,201549,"669,711"
A01,ST0001,201544,"623,132"
A01,ST0002,201544,"133,493"
A01,ST0001,201547,"681,873"
A01,ST0002,201547,"378,339"
A01,ST0001,201542,"639,179"
A01,ST0002,201542,"136,559"
A01,ST0001,201550,"752,613"
A01,ST0002,201550,"294,579"
A01,ST0001,201545,"621,592"
A01,ST0002,201545,"155,032"
A01,ST0001,201548,"1,103,665"
A01,ST0002,201548,"1,400,339"
A01,ST0001,201623,"768,124"
A01,ST0002,201623,"161,983"
A01,ST0001,201621,"721,991"
A01,ST0002,201621,"205,984"
A01,ST0001,201626,"871,247"
A01,ST0002,201626,"196,489"
A01,ST0001,201619,"693,402"
A01,ST0002,201619,"152,980"
A01,ST0001,201624,"772,706"
A01,ST0002,201624,"171,592"
A01,ST0001,201622,"817,878"
A01,ST0002,201622,"214,929"
A01,ST0001,201620,"695,859"
A01,ST0002,201620,"160,913"
A01,ST0001,201618,"712,672"
A01,ST0002,201618,"162,560"
A01,ST0001,201625,"786,218"
A01,ST0002,201625,"157,283"
A01,ST0001,201612,"794,413"
A01,ST0002,201612,"132,780"
A01,ST0001,201610,"1,218,194"
A01,ST0002,201610,"142,575"
A01,ST0001,201617,"694,920"
A01,ST0002,201617,"142,279"
A01,ST0001,201615,"678,467"
A01,ST0002,201615,"143,180"
A01,ST0001,201613,"886,427"
A01,ST0002,201613,"135,788"
A01,ST0001,201611,"1,011,581"
A01,ST0002,201611,"150,915"
A01,ST0001,201609,"635,412"
A01,ST0001,201616,"658,270"
A01,ST0002,201616,"137,927"
A01,ST0002,201609,"154,149"
A01,ST0001,201614,"739,977"
A01,ST0002,201614,"148,835"
A01,ST0001,201641,"746,061"
A01,ST0002,201641,"166,896"
A01,ST0001,201639,"744,617"
A01,ST0002,201639,"176,620"
A01,ST0001,201644,"601,142"
A01,ST0002,201644,"178,978"
A01,ST0001,201637,"708,054"
A01,ST0002,201637,"167,810"
A01,ST0001,201642,"666,092"
A01,ST0002,201642,"145,914"
A01,ST0001,201640,"690,563"
A01,ST0002,201640,"174,555"
A01,ST0001,201638,"1,007,871"
A01,ST0002,201638,"174,678"
A01,ST0001,201636,"701,390"
A01,ST0002,201636,"232,345"
A01,ST0001,201643,"551,038"
A01,ST0002,201643,"158,291"
A01,ST0001,201630,"794,421"
A01,ST0002,201630,"168,904"
A01,ST0001,201628,"863,292"
A01,ST0002,201628,"191,105"
A01,ST0001,201635,"732,598"
A01,ST0002,201635,"229,962"
A01,ST0001,201633,"748,038"
A01,ST0002,201633,"201,557"
A01,ST0001,201631,"832,400"
A01,ST0002,201631,"179,630"
A01,ST0001,201629,"809,554"
A01,ST0002,201629,"163,171"
A01,ST0001,201627,"798,282"
A01,ST0002,201627,"188,335"
A01,ST0001,201634,"711,380"
A01,ST0002,201634,"181,811"
A01,ST0001,201632,"774,620"
A01,ST0002,201632,"215,174"
A01,ST0001,201648,"873,341"
A01,ST0002,201648,"711,806"
A01,ST0001,201646,"630,040"
A01,ST0002,201646,"441,993"
A01,ST0001,201651,"1,175,605"
A01,ST0002,201651,"401,602"
A01,ST0001,201649,"749,699"
A01,ST0002,201649,"278,487"
A01,ST0001,201647,"1,037,853"
A01,ST0002,201647,"1,663,206"
A01,ST0001,201645,"585,098"
A01,ST0002,201645,"192,137"
A01,ST0001,201652,"813,749"
A01,ST0002,201652,"208,186"
A01,ST0001,201650,"786,380"
A01,ST0002,201650,"320,253"
